PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Cabinletter
59,1,2,female,5.0,1,2,27.75,S,Missing
60,0,3,male,11.0,5,2,46.9,S,Missing
61,0,3,male,22.0,0,0,7.2292,C,Missing
62,1,1,female,38.0,0,0,80.0,,B
63,0,1,male,45.0,1,0,83.475,S,C
64,0,3,male,4.0,3,2,27.9,S,Missing
65,0,1,male,51.0,0,0,27.7208,C,Missing
66,1,3,male,51.0,1,1,15.2458,C,Missing
67,1,2,female,29.0,0,0,10.5,S,F
68,0,3,male,19.0,0,0,8.1583,S,Missing
69,1,3,female,17.0,4,2,7.925,S,Missing
70,0,3,male,26.0,2,0,8.6625,S,Missing
71,0,2,male,32.0,0,0,10.5,S,Missing
72,0,3,female,16.0,5,2,46.9,S,Missing
73,0,2,male,21.0,0,0,73.5,S,Missing
74,0,3,male,26.0,1,0,14.4542,C,Missing
75,1,3,male,32.0,0,0,56.4958,S,Missing
76,0,3,male,25.0,0,0,7.65,S,F
77,0,3,male,51.0,0,0,7.8958,S,Missing
78,0,3,male,51.0,0,0,8.05,S,Missing
79,1,2,male,0.83,0,2,29.0,S,Missing
80,1,3,female,30.0,0,0,12.475,S,Missing
81,0,3,male,22.0,0,0,9.0,S,Missing
82,1,3,male,29.0,0,0,9.5,S,Missing
83,1,3,female,51.0,0,0,7.7875,Q,Missing
84,0,1,male,28.0,0,0,47.1,S,Missing
85,1,2,female,17.0,0,0,10.5,S,Missing
86,1,3,female,33.0,3,0,15.85,S,Missing
87,0,3,male,16.0,1,3,34.375,S,Missing
88,0,3,male,51.0,0,0,8.05,S,Missing
89,1,1,female,23.0,3,2,263.0,S,C
90,0,3,male,24.0,0,0,8.05,S,Missing
91,0,3,male,29.0,0,0,8.05,S,Missing
92,0,3,male,20.0,0,0,7.8542,S,Missing
93,0,1,male,46.0,1,0,61.175,S,E
94,0,3,male,26.0,1,2,20.575,S,Missing
95,0,3,male,59.0,0,0,7.25,S,Missing
96,0,3,male,51.0,0,0,8.05,S,Missing
97,0,1,male,71.0,0,0,34.6542,C,A
98,1,1,male,23.0,0,1,63.3583,C,D
99,1,2,female,34.0,0,1,23.0,S,Missing
100,0,2,male,34.0,1,0,26.0,S,Missing
101,0,3,female,28.0,0,0,7.8958,S,Missing
102,0,3,male,51.0,0,0,7.8958,S,Missing
103,0,1,male,21.0,0,1,77.2875,S,D
104,0,3,male,33.0,0,0,8.6542,S,Missing
105,0,3,male,37.0,2,0,7.925,S,Missing
106,0,3,male,28.0,0,0,7.8958,S,Missing
107,1,3,female,21.0,0,0,7.65,S,Missing
108,1,3,male,51.0,0,0,7.775,S,Missing
109,0,3,male,38.0,0,0,7.8958,S,Missing
110,1,3,female,51.0,1,0,24.15,Q,Missing
111,0,1,male,47.0,0,0,52.0,S,C
112,0,3,female,14.5,1,0,14.4542,C,Missing
113,0,3,male,22.0,0,0,8.05,S,Missing
114,0,3,female,20.0,1,0,9.825,S,Missing
115,0,3,female,17.0,0,0,14.4583,C,Missing
116,0,3,male,21.0,0,0,7.925,S,Missing
117,0,3,male,70.5,0,0,7.75,Q,Missing
118,0,2,male,29.0,1,0,21.0,S,Missing
119,0,1,male,24.0,0,1,247.5208,C,B
120,0,3,female,2.0,4,2,31.275,S,Missing
121,0,2,male,21.0,2,0,73.5,S,Missing
122,0,3,male,51.0,0,0,8.05,S,Missing
123,0,2,male,32.5,1,0,30.0708,C,Missing
124,1,2,female,32.5,0,0,13.0,S,E
125,0,1,male,54.0,0,1,77.2875,S,D
126,1,3,male,12.0,1,0,11.2417,C,Missing
127,0,3,male,51.0,0,0,7.75,Q,Missing
128,1,3,male,24.0,0,0,7.1417,S,Missing
129,1,3,female,51.0,1,1,22.3583,C,F
130,0,3,male,45.0,0,0,6.975,S,Missing
131,0,3,male,33.0,0,0,7.8958,C,Missing
132,0,3,male,20.0,0,0,7.05,S,Missing
133,0,3,female,47.0,1,0,14.5,S,Missing
134,1,2,female,29.0,1,0,26.0,S,Missing
135,0,2,male,25.0,0,0,13.0,S,Missing
136,0,2,male,23.0,0,0,15.0458,C,Missing
137,1,1,female,19.0,0,2,26.2833,S,D
138,0,1,male,37.0,1,0,53.1,S,C
139,0,3,male,16.0,0,0,9.2167,S,Missing
140,0,1,male,24.0,0,0,79.2,C,B
141,0,3,female,51.0,0,2,15.2458,C,Missing
142,1,3,female,22.0,0,0,7.75,S,Missing
143,1,3,female,24.0,1,0,15.85,S,Missing
144,0,3,male,19.0,0,0,6.75,Q,Missing
145,0,2,male,18.0,0,0,11.5,S,Missing
146,0,2,male,19.0,1,1,36.75,S,Missing
147,1,3,male,27.0,0,0,7.7958,S,Missing
148,0,3,female,9.0,2,2,34.375,S,Missing
149,0,2,male,36.5,0,2,26.0,S,F
150,0,2,male,42.0,0,0,13.0,S,Missing
151,0,2,male,51.0,0,0,12.525,S,Missing
152,1,1,female,22.0,1,0,66.6,S,C
153,0,3,male,55.5,0,0,8.05,S,Missing
154,0,3,male,40.5,0,2,14.5,S,Missing
155,0,3,male,51.0,0,0,7.3125,S,Missing
156,0,1,male,51.0,0,1,61.3792,C,Missing
157,1,3,female,16.0,0,0,7.7333,Q,Missing
158,0,3,male,30.0,0,0,8.05,S,Missing
159,0,3,male,51.0,0,0,8.6625,S,Missing
160,0,3,male,51.0,8,2,69.55,S,Missing
161,0,3,male,44.0,0,1,16.1,S,Missing
162,1,2,female,40.0,0,0,15.75,S,Missing
163,0,3,male,26.0,0,0,7.775,S,Missing
164,0,3,male,17.0,0,0,8.6625,S,Missing
165,0,3,male,1.0,4,1,39.6875,S,Missing
166,1,3,male,9.0,0,2,20.525,S,Missing
167,1,1,female,51.0,0,1,55.0,S,E
168,0,3,female,45.0,1,4,27.9,S,Missing
169,0,1,male,51.0,0,0,25.925,S,Missing
170,0,3,male,28.0,0,0,56.4958,S,Missing
171,0,1,male,61.0,0,0,33.5,S,B
172,0,3,male,4.0,4,1,29.125,Q,Missing
173,1,3,female,1.0,1,1,11.1333,S,Missing
174,0,3,male,21.0,0,0,7.925,S,Missing
175,0,1,male,56.0,0,0,30.6958,C,A
176,0,3,male,18.0,1,1,7.8542,S,Missing
177,0,3,male,51.0,3,1,25.4667,S,Missing
178,0,1,female,50.0,0,0,28.7125,C,C
179,0,2,male,30.0,0,0,13.0,S,Missing
180,0,3,male,36.0,0,0,0.0,S,Missing
181,0,3,female,51.0,8,2,69.55,S,Missing
182,0,2,male,51.0,0,0,15.05,C,Missing
183,0,3,male,9.0,4,2,31.3875,S,Missing
184,1,2,male,1.0,2,1,39.0,S,F
185,1,3,female,4.0,0,2,22.025,S,Missing
186,0,1,male,51.0,0,0,50.0,S,A
187,1,3,female,51.0,1,0,15.5,Q,Missing
188,1,1,male,45.0,0,0,26.55,S,Missing
189,0,3,male,40.0,1,1,15.5,Q,Missing
190,0,3,male,36.0,0,0,7.8958,S,Missing
191,1,2,female,32.0,0,0,13.0,S,Missing
192,0,2,male,19.0,0,0,13.0,S,Missing
193,1,3,female,19.0,1,0,7.8542,S,Missing
194,1,2,male,3.0,1,1,26.0,S,F
195,1,1,female,44.0,0,0,27.7208,C,B
196,1,1,female,58.0,0,0,146.5208,C,B
197,0,3,male,51.0,0,0,7.75,Q,Missing
198,0,3,male,42.0,0,1,8.4042,S,Missing
199,1,3,female,51.0,0,0,7.75,Q,Missing
200,0,2,female,24.0,0,0,13.0,S,Missing
201,0,3,male,28.0,0,0,9.5,S,Missing
202,0,3,male,51.0,8,2,69.55,S,Missing
203,0,3,male,34.0,0,0,6.4958,S,Missing
204,0,3,male,45.5,0,0,7.225,C,Missing
205,1,3,male,18.0,0,0,8.05,S,Missing
206,0,3,female,2.0,0,1,10.4625,S,G
207,0,3,male,32.0,1,0,15.85,S,Missing
208,1,3,male,26.0,0,0,18.7875,C,Missing
209,1,3,female,16.0,0,0,7.75,Q,Missing
210,1,1,male,40.0,0,0,31.0,C,A
211,0,3,male,24.0,0,0,7.05,S,Missing
212,1,2,female,35.0,0,0,21.0,S,Missing
213,0,3,male,22.0,0,0,7.25,S,Missing
214,0,2,male,30.0,0,0,13.0,S,Missing
215,0,3,male,51.0,1,0,7.75,Q,Missing
216,1,1,female,31.0,1,0,113.275,C,D
217,1,3,female,27.0,0,0,7.925,S,Missing
218,0,2,male,42.0,1,0,27.0,S,Missing
219,1,1,female,32.0,0,0,76.2917,C,D
220,0,2,male,30.0,0,0,10.5,S,Missing
221,1,3,male,16.0,0,0,8.05,S,Missing
222,0,2,male,27.0,0,0,13.0,S,Missing
223,0,3,male,51.0,0,0,8.05,S,Missing
224,0,3,male,51.0,0,0,7.8958,S,Missing
225,1,1,male,38.0,1,0,90.0,S,C
226,0,3,male,22.0,0,0,9.35,S,Missing
227,1,2,male,19.0,0,0,10.5,S,Missing
228,0,3,male,20.5,0,0,7.25,S,Missing
229,0,2,male,18.0,0,0,13.0,S,Missing
230,0,3,female,51.0,3,1,25.4667,S,Missing
231,1,1,female,35.0,1,0,83.475,S,C
232,0,3,male,29.0,0,0,7.775,S,Missing
233,0,2,male,59.0,0,0,13.5,S,Missing
234,1,3,female,5.0,4,2,31.3875,S,Missing
235,0,2,male,24.0,0,0,10.5,S,Missing
236,0,3,female,51.0,0,0,7.55,S,Missing
237,0,2,male,44.0,1,0,26.0,S,Missing
238,1,2,female,8.0,0,2,26.25,S,Missing
239,0,2,male,19.0,0,0,10.5,S,Missing
240,0,2,male,33.0,0,0,12.275,S,Missing
241,0,3,female,51.0,1,0,14.4542,C,Missing
242,1,3,female,51.0,1,0,15.5,Q,Missing
243,0,2,male,29.0,0,0,10.5,S,Missing
244,0,3,male,22.0,0,0,7.125,S,Missing
245,0,3,male,30.0,0,0,7.225,C,Missing
246,0,1,male,44.0,2,0,90.0,Q,C
247,0,3,female,25.0,0,0,7.775,S,Missing
248,1,2,female,24.0,0,2,14.5,S,Missing
249,1,1,male,37.0,1,1,52.5542,S,D
250,0,2,male,54.0,1,0,26.0,S,Missing
251,0,3,male,51.0,0,0,7.25,S,Missing
252,0,3,female,29.0,1,1,10.4625,S,G
253,0,1,male,62.0,0,0,26.55,S,C
254,0,3,male,30.0,1,0,16.1,S,Missing
255,0,3,female,41.0,0,2,20.2125,S,Missing
256,1,3,female,29.0,0,2,15.2458,C,Missing
257,1,1,female,51.0,0,0,79.2,C,Missing
258,1,1,female,30.0,0,0,86.5,S,B
259,1,1,female,35.0,0,0,512.3292,C,Missing
260,1,2,female,50.0,0,1,26.0,S,Missing
261,0,3,male,51.0,0,0,7.75,Q,Missing
262,1,3,male,3.0,4,2,31.3875,S,Missing
263,0,1,male,52.0,1,1,79.65,S,E
264,0,1,male,40.0,0,0,0.0,S,B
265,0,3,female,51.0,0,0,7.75,Q,Missing
266,0,2,male,36.0,0,0,10.5,S,Missing
267,0,3,male,16.0,4,1,39.6875,S,Missing
268,1,3,male,25.0,1,0,7.775,S,Missing
269,1,1,female,58.0,0,1,153.4625,S,C
270,1,1,female,35.0,0,0,135.6333,S,C
271,0,1,male,51.0,0,0,31.0,S,Missing
272,1,3,male,25.0,0,0,0.0,S,Missing
273,1,2,female,41.0,0,1,19.5,S,Missing
274,0,1,male,37.0,0,1,29.7,C,C
275,1,3,female,51.0,0,0,7.75,Q,Missing
276,1,1,female,63.0,1,0,77.9583,S,D
277,0,3,female,45.0,0,0,7.75,S,Missing
278,0,2,male,51.0,0,0,0.0,S,Missing
279,0,3,male,7.0,4,1,29.125,Q,Missing
280,1,3,female,35.0,1,1,20.25,S,Missing
281,0,3,male,65.0,0,0,7.75,Q,Missing
282,0,3,male,28.0,0,0,7.8542,S,Missing
283,0,3,male,16.0,0,0,9.5,S,Missing
284,1,3,male,19.0,0,0,8.05,S,Missing
285,0,1,male,51.0,0,0,26.0,S,A
286,0,3,male,33.0,0,0,8.6625,C,Missing
287,1,3,male,30.0,0,0,9.5,S,Missing
288,0,3,male,22.0,0,0,7.8958,S,Missing
289,1,2,male,42.0,0,0,13.0,S,Missing
290,1,3,female,22.0,0,0,7.75,Q,Missing
291,1,1,female,26.0,0,0,78.85,S,Missing
292,1,1,female,19.0,1,0,91.0792,C,B
293,0,2,male,36.0,0,0,12.875,C,D
294,0,3,female,24.0,0,0,8.85,S,Missing
295,0,3,male,24.0,0,0,7.8958,S,Missing
296,0,1,male,51.0,0,0,27.7208,C,Missing
297,0,3,male,23.5,0,0,7.2292,C,Missing
298,0,1,female,2.0,1,2,151.55,S,C
299,1,1,male,51.0,0,0,30.5,S,C
300,1,1,female,50.0,0,1,247.5208,C,B
301,1,3,female,51.0,0,0,7.75,Q,Missing
302,1,3,male,51.0,2,0,23.25,Q,Missing
303,0,3,male,19.0,0,0,0.0,S,Missing
304,1,2,female,51.0,0,0,12.35,Q,E
305,0,3,male,51.0,0,0,8.05,S,Missing
306,1,1,male,0.92,1,2,151.55,S,C
307,1,1,female,51.0,0,0,110.8833,C,Missing
308,1,1,female,17.0,1,0,108.9,C,C
309,0,2,male,30.0,1,0,24.0,C,Missing
310,1,1,female,30.0,0,0,56.9292,C,E
311,1,1,female,24.0,0,0,83.1583,C,C
312,1,1,female,18.0,2,2,262.375,C,B
313,0,2,female,26.0,1,1,26.0,S,Missing
314,0,3,male,28.0,0,0,7.8958,S,Missing
315,0,2,male,43.0,1,1,26.25,S,Missing
316,1,3,female,26.0,0,0,7.8542,S,Missing
317,1,2,female,24.0,1,0,26.0,S,Missing
318,0,2,male,54.0,0,0,14.0,S,Missing
319,1,1,female,31.0,0,2,164.8667,S,C
320,1,1,female,40.0,1,1,134.5,C,E
321,0,3,male,22.0,0,0,7.25,S,Missing
322,0,3,male,27.0,0,0,7.8958,S,Missing
323,1,2,female,30.0,0,0,12.35,Q,Missing
324,1,2,female,22.0,1,1,29.0,S,Missing
325,0,3,male,51.0,8,2,69.55,S,Missing
326,1,1,female,36.0,0,0,135.6333,C,C
327,0,3,male,61.0,0,0,6.2375,S,Missing
328,1,2,female,36.0,0,0,13.0,S,D
329,1,3,female,31.0,1,1,20.525,S,Missing
330,1,1,female,16.0,0,1,57.9792,C,B
331,1,3,female,51.0,2,0,23.25,Q,Missing
332,0,1,male,45.5,0,0,28.5,S,C
333,0,1,male,38.0,0,1,153.4625,S,C
334,0,3,male,16.0,2,0,18.0,S,Missing
335,1,1,female,51.0,1,0,133.65,S,Missing
336,0,3,male,51.0,0,0,7.8958,S,Missing
337,0,1,male,29.0,1,0,66.6,S,C
338,1,1,female,41.0,0,0,134.5,C,E
339,1,3,male,45.0,0,0,8.05,S,Missing
340,0,1,male,45.0,0,0,35.5,S,T
341,1,2,male,2.0,1,1,26.0,S,F
342,1,1,female,24.0,3,2,263.0,S,C
343,0,2,male,28.0,0,0,13.0,S,Missing
344,0,2,male,25.0,0,0,13.0,S,Missing
345,0,2,male,36.0,0,0,13.0,S,Missing
346,1,2,female,24.0,0,0,13.0,S,F
347,1,2,female,40.0,0,0,13.0,S,Missing
348,1,3,female,51.0,1,0,16.1,S,Missing
349,1,3,male,3.0,1,1,15.9,S,Missing
350,0,3,male,42.0,0,0,8.6625,S,Missing
351,0,3,male,23.0,0,0,9.225,S,Missing
352,0,1,male,51.0,0,0,35.0,S,C
353,0,3,male,15.0,1,1,7.2292,C,Missing
354,0,3,male,25.0,1,0,17.8,S,Missing
355,0,3,male,51.0,0,0,7.225,C,Missing
356,0,3,male,28.0,0,0,9.5,S,Missing
357,1,1,female,22.0,0,1,55.0,S,E
358,0,2,female,38.0,0,0,13.0,S,Missing
359,1,3,female,51.0,0,0,7.8792,Q,Missing
360,1,3,female,51.0,0,0,7.8792,Q,Missing
361,0,3,male,40.0,1,4,27.9,S,Missing
362,0,2,male,29.0,1,0,27.7208,C,Missing
363,0,3,female,45.0,0,1,14.4542,C,Missing
364,0,3,male,35.0,0,0,7.05,S,Missing
365,0,3,male,51.0,1,0,15.5,Q,Missing
366,0,3,male,30.0,0,0,7.25,S,Missing
367,1,1,female,60.0,1,0,75.25,C,D
368,1,3,female,51.0,0,0,7.2292,C,Missing
369,1,3,female,51.0,0,0,7.75,Q,Missing
370,1,1,female,24.0,0,0,69.3,C,B
371,1,1,male,25.0,1,0,55.4417,C,E
372,0,3,male,18.0,1,0,6.4958,S,Missing
373,0,3,male,19.0,0,0,8.05,S,Missing
374,0,1,male,22.0,0,0,135.6333,C,Missing
375,0,3,female,3.0,3,1,21.075,S,Missing
376,1,1,female,51.0,1,0,82.1708,C,Missing
377,1,3,female,22.0,0,0,7.25,S,Missing
378,0,1,male,27.0,0,2,211.5,C,C
379,0,3,male,20.0,0,0,4.0125,C,Missing
380,0,3,male,19.0,0,0,7.775,S,Missing
381,1,1,female,42.0,0,0,227.525,C,Missing
382,1,3,female,1.0,0,2,15.7417,C,Missing
383,0,3,male,32.0,0,0,7.925,S,Missing
384,1,1,female,35.0,1,0,52.0,S,Missing
385,0,3,male,51.0,0,0,7.8958,S,Missing
386,0,2,male,18.0,0,0,73.5,S,Missing
387,0,3,male,1.0,5,2,46.9,S,Missing
388,1,2,female,36.0,0,0,13.0,S,Missing
389,0,3,male,51.0,0,0,7.7292,Q,Missing
390,1,2,female,17.0,0,0,12.0,C,Missing
391,1,1,male,36.0,1,2,120.0,S,B
392,1,3,male,21.0,0,0,7.7958,S,Missing
393,0,3,male,28.0,2,0,7.925,S,Missing
394,1,1,female,23.0,1,0,113.275,C,D
395,1,3,female,24.0,0,2,16.7,S,G
396,0,3,male,22.0,0,0,7.7958,S,Missing
397,0,3,female,31.0,0,0,7.8542,S,Missing
398,0,2,male,46.0,0,0,26.0,S,Missing
399,0,2,male,23.0,0,0,10.5,S,Missing
400,1,2,female,28.0,0,0,12.65,S,Missing
401,1,3,male,39.0,0,0,7.925,S,Missing
402,0,3,male,26.0,0,0,8.05,S,Missing
403,0,3,female,21.0,1,0,9.825,S,Missing
404,0,3,male,28.0,1,0,15.85,S,Missing
405,0,3,female,20.0,0,0,8.6625,S,Missing
406,0,2,male,34.0,1,0,21.0,S,Missing
407,0,3,male,51.0,0,0,7.75,S,Missing
408,1,2,male,3.0,1,1,18.75,S,Missing
409,0,3,male,21.0,0,0,7.775,S,Missing
410,0,3,female,51.0,3,1,25.4667,S,Missing
411,0,3,male,51.0,0,0,7.8958,S,Missing
412,0,3,male,51.0,0,0,6.8583,Q,Missing
413,1,1,female,33.0,1,0,90.0,Q,C
414,0,2,male,51.0,0,0,0.0,S,Missing
415,1,3,male,44.0,0,0,7.925,S,Missing
416,0,3,female,51.0,0,0,8.05,S,Missing
417,1,2,female,34.0,1,1,32.5,S,Missing
418,1,2,female,18.0,0,2,13.0,S,Missing
419,0,2,male,30.0,0,0,13.0,S,Missing
420,0,3,female,10.0,0,2,24.15,S,Missing
421,0,3,male,51.0,0,0,7.8958,C,Missing
422,0,3,male,21.0,0,0,7.7333,Q,Missing
423,0,3,male,29.0,0,0,7.875,S,Missing
424,0,3,female,28.0,1,1,14.4,S,Missing
425,0,3,male,18.0,1,1,20.2125,S,Missing
426,0,3,male,51.0,0,0,7.25,S,Missing
427,1,2,female,28.0,1,0,26.0,S,Missing
428,1,2,female,19.0,0,0,26.0,S,Missing
429,0,3,male,51.0,0,0,7.75,Q,Missing
430,1,3,male,32.0,0,0,8.05,S,E
431,1,1,male,28.0,0,0,26.55,S,C
432,1,3,female,51.0,1,0,16.1,S,Missing
433,1,2,female,42.0,1,0,26.0,S,Missing
434,0,3,male,17.0,0,0,7.125,S,Missing
435,0,1,male,50.0,1,0,55.9,S,E
436,1,1,female,14.0,1,2,120.0,S,B
437,0,3,female,21.0,2,2,34.375,S,Missing
438,1,2,female,24.0,2,3,18.75,S,Missing
439,0,1,male,64.0,1,4,263.0,S,C
440,0,2,male,31.0,0,0,10.5,S,Missing
441,1,2,female,45.0,1,1,26.25,S,Missing
442,0,3,male,20.0,0,0,9.5,S,Missing
443,0,3,male,25.0,1,0,7.775,S,Missing
444,1,2,female,28.0,0,0,13.0,S,Missing
445,1,3,male,51.0,0,0,8.1125,S,Missing
446,1,1,male,4.0,0,2,81.8583,S,A
447,1,2,female,13.0,0,1,19.5,S,Missing
448,1,1,male,34.0,0,0,26.55,S,Missing
449,1,3,female,5.0,2,1,19.2583,C,Missing
450,1,1,male,52.0,0,0,30.5,S,C
451,0,2,male,36.0,1,2,27.75,S,Missing
452,0,3,male,51.0,1,0,19.9667,S,Missing
453,0,1,male,30.0,0,0,27.75,C,C
454,1,1,male,49.0,1,0,89.1042,C,C
455,0,3,male,51.0,0,0,8.05,S,Missing
456,1,3,male,29.0,0,0,7.8958,C,Missing
457,0,1,male,65.0,0,0,26.55,S,E
458,1,1,female,51.0,1,0,51.8625,S,D
459,1,2,female,50.0,0,0,10.5,S,Missing
460,0,3,male,51.0,0,0,7.75,Q,Missing
461,1,1,male,48.0,0,0,26.55,S,E
462,0,3,male,34.0,0,0,8.05,S,Missing
463,0,1,male,47.0,0,0,38.5,S,E
464,0,2,male,48.0,0,0,13.0,S,Missing
465,0,3,male,51.0,0,0,8.05,S,Missing
466,0,3,male,38.0,0,0,7.05,S,Missing
467,0,2,male,51.0,0,0,0.0,S,Missing
468,0,1,male,56.0,0,0,26.55,S,Missing
469,0,3,male,51.0,0,0,7.725,Q,Missing
470,1,3,female,0.75,2,1,19.2583,C,Missing
471,0,3,male,51.0,0,0,7.25,S,Missing
472,0,3,male,38.0,0,0,8.6625,S,Missing
473,1,2,female,33.0,1,2,27.75,S,Missing
474,1,2,female,23.0,0,0,13.7917,C,D
475,0,3,female,22.0,0,0,9.8375,S,Missing
476,0,1,male,51.0,0,0,52.0,S,A
477,0,2,male,34.0,1,0,21.0,S,Missing
478,0,3,male,29.0,1,0,7.0458,S,Missing
479,0,3,male,22.0,0,0,7.5208,S,Missing
480,1,3,female,2.0,0,1,12.2875,S,Missing
481,0,3,male,9.0,5,2,46.9,S,Missing
482,0,2,male,51.0,0,0,0.0,S,Missing
483,0,3,male,50.0,0,0,8.05,S,Missing
484,1,3,female,63.0,0,0,9.5875,S,Missing
485,1,1,male,25.0,1,0,91.0792,C,B
486,0,3,female,51.0,3,1,25.4667,S,Missing
487,1,1,female,35.0,1,0,90.0,S,C
488,0,1,male,58.0,0,0,29.7,C,B
489,0,3,male,30.0,0,0,8.05,S,Missing
490,1,3,male,9.0,1,1,15.9,S,Missing
491,0,3,male,51.0,1,0,19.9667,S,Missing
492,0,3,male,21.0,0,0,7.25,S,Missing
493,0,1,male,55.0,0,0,30.5,S,C
494,0,1,male,71.0,0,0,49.5042,C,Missing
495,0,3,male,21.0,0,0,8.05,S,Missing
496,0,3,male,51.0,0,0,14.4583,C,Missing
497,1,1,female,54.0,1,0,78.2667,C,D
498,0,3,male,51.0,0,0,15.1,S,Missing
499,0,1,female,25.0,1,2,151.55,S,C
500,0,3,male,24.0,0,0,7.7958,S,Missing
501,0,3,male,17.0,0,0,8.6625,S,Missing
502,0,3,female,21.0,0,0,7.75,Q,Missing
503,0,3,female,51.0,0,0,7.6292,Q,Missing
504,0,3,female,37.0,0,0,9.5875,S,Missing
505,1,1,female,16.0,0,0,86.5,S,B
506,0,1,male,18.0,1,0,108.9,C,C
507,1,2,female,33.0,0,2,26.0,S,Missing
508,1,1,male,51.0,0,0,26.55,S,Missing
509,0,3,male,28.0,0,0,22.525,S,Missing
510,1,3,male,26.0,0,0,56.4958,S,Missing
511,1,3,male,29.0,0,0,7.75,Q,Missing
512,0,3,male,51.0,0,0,8.05,S,Missing
513,1,1,male,36.0,0,0,26.2875,S,E
514,1,1,female,54.0,1,0,59.4,C,Missing
515,0,3,male,24.0,0,0,7.4958,S,Missing
516,0,1,male,47.0,0,0,34.0208,S,D
517,1,2,female,34.0,0,0,10.5,S,F
518,0,3,male,51.0,0,0,24.15,Q,Missing
519,1,2,female,36.0,1,0,26.0,S,Missing
520,0,3,male,32.0,0,0,7.8958,S,Missing
521,1,1,female,30.0,0,0,93.5,S,B
522,0,3,male,22.0,0,0,7.8958,S,Missing
523,0,3,male,51.0,0,0,7.225,C,Missing
524,1,1,female,44.0,0,1,57.9792,C,B
525,0,3,male,51.0,0,0,7.2292,C,Missing
526,0,3,male,40.5,0,0,7.75,Q,Missing
527,1,2,female,50.0,0,0,10.5,S,Missing
528,0,1,male,51.0,0,0,221.7792,S,C
529,0,3,male,39.0,0,0,7.925,S,Missing
530,0,2,male,23.0,2,1,11.5,S,Missing
531,1,2,female,2.0,1,1,26.0,S,Missing
532,0,3,male,51.0,0,0,7.2292,C,Missing
533,0,3,male,17.0,1,1,7.2292,C,Missing
534,1,3,female,51.0,0,2,22.3583,C,Missing
535,0,3,female,30.0,0,0,8.6625,S,Missing
